# GJ 747
# http://ad.usno.navy.mil/wds/int4/int4_08.html

date       | rho     | theta    | e_rho  | e_theta  |  tech   | notes
1986.4505    0.148     110.6      0.006    1.1        Sp        theta-180
1986.6511    0.089     117.4                          Sp        theta-180
1986.6565    0.102     114.2                          Sp        theta-180
1999.6417    0.304     256.1      0.004    0.1        AO   
1999.6444    0.298     255.9      0.001    0.1        AO
1999.9004    0.331     258.6      0.001    0.1        AO
2000.2749    0.3542    262.3      0.0004   0.1        AO 
2000.8751    0.325     268.1      0.001    0.3        Sp
2001.7576    0.134     288.0      0.001    0.5        Sp
2001.7576    0.133     287.9      0.001    0.3        Sp
2001.7576    0.134     287.5      0.003    1.1        Sp
2008.527     0.193     74.        0.010    4.         Cl        theta-180
2008.546     0.197     78.5                           S  
2008.5645    0.205      81        0.007    3          Cl
2009.349     0.148     109.       0.010    5.         Cl
2010.592     0.18      245.20                         AO

