# Gl 747 Observaciones
# http://ad.usno.navy.mil/wds/int4/int4_08.html

epoch    theta     rho          rho_err
#1985.4899   176.7   0.326      1   
1986.4078   290.6    0.147      1
1986.4505   290.6    0.148      1  
1986.6511   297.4    0.089      1    
1986.6565   294.2    0.102      1
1987.3779    53.0    0.141      1
1987.3779    53.0    0.141      1
1999.6417   256.1    0.304      1
1999.6444   255.9    0.298      1
1999.9004   258.6    0.331      1
2000.2749   262.3    0.3542     1
2000.8751   268.1    0.325     1
2001.7576   288.0    0.134     1
2001.7576   287.9    0.133     1
2001.7576   287.5    0.134     1
2008.527     74.     0.193     1
2008.546    78.5    0.197      1
2009.349    109.     0.148     1 
2010.592    61.20   0.18       1 


